nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
0.743,,10.9,7.06,GAR000000033176,1997-07-15 13:00:00+02:00
54.84,,13.3,6.97,GAR000000033182,2007-10-29 12:00:00+01:00
2.91,,12.1,7.11,GAR000000033189,2009-04-06 13:00:00+02:00
50.005,,11.4,7.01,GAR000000033190,2011-03-01 12:00:00+01:00
34.614,,11.3,7.02,GAR000000033191,2011-03-01 12:00:00+01:00
192.148,,13.1,7.05,GAR000000033202,2013-08-14 13:00:00+02:00
5.024,,13.9,6.95,GAR000000033203,2015-05-10 13:00:00+02:00
2.39,,11.7,7.03,GAR000000033204,2019-04-30 13:00:00+02:00
0.496,,13.3,7.09,GAR000000033211,2017-10-11 12:00:00+01:00
87.753,,11.7,7.22,GAR000000033212,2014-06-08 13:00:00+02:00
4.063,,10.4,7.09,GAR000000033458,1993-03-29 13:00:00+02:00
7.168,,11.4,7.19,GAR000000033459,1994-07-02 12:00:00+01:00
0.588,,10.5,7.13,GAR000000033460,1996-12-04 13:00:00+02:00
3.927,,11.1,7.1,GAR000000033463,1995-07-03 12:00:00+01:00
6.599,,10.4,7.14,GAR000000033464,1999-10-05 13:00:00+02:00
5.506,,11.4,7.1,GAR000000033465,2001-09-07 13:00:00+02:00
105.66,,10.9,7.07,GAR000000033466,2003-04-15 13:00:00+02:00
31.2,,12.2,7.0,GAR000000033467,2005-02-08 13:00:00+02:00
0.451,,11.3,7.1,GAR000000033479,1993-03-29 13:00:00+02:00
0.518,,10.7,7.14,GAR000000033481,1996-12-04 13:00:00+02:00
91.233,,12.0,6.99,GAR000000033485,2002-05-28 13:00:00+02:00
53.227,,11.9,7.1,GAR000000033487,2006-06-13 13:00:00+02:00
0.069,,10.2,7.37,GAR000000033502,1994-07-02 12:00:00+01:00
0.07,,9.3,7.34,GAR000000033503,1995-07-03 12:00:00+01:00
0.112,,11.8,7.06,GAR000000036196,1998-04-27 13:00:00+02:00
4.003,,11.9,7.28,GAR000000043335,2021-04-26 13:00:00+02:00
0.029,,,7.23,GAR000000043362,2021-04-26 13:00:00+02:00
2.934,,12.3,7.01,GAR000000044005,2023-04-04 13:00:00+02:00
