nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
17.0,0.06,13.2,6.97,GAR000000013744,2012-03-27 12:00:00+02:00
15.0,0.07,17.5,7.17,GAR000000013745,2013-01-08 12:00:00+02:00
14.0,0.06,13.2,6.94,GAR000000013746,2014-02-07 12:00:00+02:00
15.0,0.05,11.3,7.66,GAR000000013747,2016-07-13 12:00:00+02:00
19.628,,10.7,6.73,GAR000000037970,1997-09-07 13:00:00+02:00
30.542,,10.2,6.85,GAR000000037972,1999-09-28 13:00:00+02:00
30.494,,11.3,6.77,GAR000000037989,1994-04-27 13:00:00+02:00
16.107,,10.8,6.81,GAR000000037990,2011-04-01 12:00:00+01:00
15.434,,12.5,6.74,GAR000000037991,2015-07-23 13:00:00+02:00
28.412,,10.5,7.0,GAR000000037997,1994-04-27 13:00:00+02:00
25.774,,11.0,6.78,GAR000000038000,1995-06-27 13:00:00+02:00
26.465,,10.9,6.67,GAR000000038001,1996-11-04 13:00:00+02:00
26.45,,11.2,7.07,GAR000000038006,2003-04-15 13:00:00+02:00
12.58,,12.6,6.845,GAR000000038007,2018-12-06 13:00:00+02:00
21.28,,10.7,7.09,GAR000000038010,2005-10-13 13:00:00+02:00
14.677,,12.2,7.05,GAR000000038011,2013-12-08 13:00:00+02:00
20.146,,11.7,6.88,GAR000000038016,2009-04-06 13:00:00+02:00
27.537,,10.4,6.81,GAR000000038022,1995-06-27 13:00:00+02:00
22.724,,10.5,6.79,GAR000000038023,2002-07-08 13:00:00+02:00
26.899,,10.2,6.67,GAR000000038029,1996-11-04 13:00:00+02:00
26.633,,11.5,6.77,GAR000000038039,1998-08-20 13:00:00+02:00
27.413,,11.0,7.0,GAR000000038043,2006-06-13 13:00:00+02:00
19.024,,10.3,7.04,GAR000000038044,2014-07-08 13:00:00+02:00
15.056,,11.3,6.86,GAR000000038045,2018-12-06 13:00:00+02:00
21.942,,11.4,6.5,GAR000000038050,2010-06-24 13:00:00+02:00
16.444,,11.1,6.83,GAR000000038051,2020-11-08 13:00:00+02:00
11.353,,12.6,6.82,GAR000000043552,2022-03-28 13:00:00+02:00
15.281,,11.4,6.84,GAR000000043695,2022-03-28 13:00:00+02:00
11.196,,12.6,6.82,GAR000000043708,2022-03-28 13:00:00+02:00
12.0,0.05,14.8,6.93,GAR000000050918,2019-10-07 12:00:00+02:00
