nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
9.44,,11.4,7.13,GAR000000038132,1994-07-02 12:00:00+01:00
7.935,,11.3,7.06,GAR000000038135,1995-01-03 12:00:00+01:00
7.762,,10.8,7.03,GAR000000038136,1996-12-04 13:00:00+02:00
7.902,,11.2,7.05,GAR000000038137,1997-07-15 13:00:00+02:00
9.092,,11.7,6.94,GAR000000038142,1998-06-24 13:00:00+02:00
10.919,,12.3,7.0,GAR000000038148,1994-07-02 12:00:00+01:00
7.649,,11.9,7.1,GAR000000038154,2002-05-27 13:00:00+02:00
9.457,,12.0,7.0,GAR000000038155,2006-12-06 13:00:00+02:00
10.255,,11.2,6.94,GAR000000038161,1995-01-03 12:00:00+01:00
10.518,,12.8,6.81,GAR000000038165,2010-06-23 13:00:00+02:00
11.418,,14.8,6.98,GAR000000038166,2017-06-14 13:00:00+02:00
11.558,,11.5,6.89,GAR000000038169,1996-12-04 13:00:00+02:00
13.113,,11.3,6.84,GAR000000038170,1999-07-28 13:00:00+02:00
11.32,,11.4,6.92,GAR000000038171,2001-08-08 13:00:00+02:00
11.792,,11.2,7.06,GAR000000038173,2014-06-08 13:00:00+02:00
12.55,,11.7,7.25,GAR000000038176,2003-04-14 13:00:00+02:00
15.68,,13.8,7.28,GAR000000038180,2005-02-08 13:00:00+02:00
13.855,,11.0,7.0,GAR000000038181,2011-03-01 12:00:00+01:00
14.314,,11.5,7.05,GAR000000041544,2009-04-06 13:00:00+02:00
12.243,,11.4,7.23,GAR000000043326,2021-04-28 13:00:00+02:00
