nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
11.392,,10.9,7.1,GAR000000033328,1995-02-03 12:00:00+01:00
11.894,,11.0,7.04,GAR000000033329,1997-07-15 13:00:00+02:00
17.478,,11.7,6.9,GAR000000033336,2017-08-14 13:00:00+02:00
12.553,,12.3,7.0,GAR000000033341,1996-12-04 13:00:00+02:00
10.751,,13.0,7.22,GAR000000033350,1994-07-02 12:00:00+01:00
13.898,,11.2,7.07,GAR000000033351,1999-07-28 13:00:00+02:00
16.35,,11.1,7.02,GAR000000033352,2001-08-08 13:00:00+02:00
16.59,,10.8,7.04,GAR000000033353,2003-10-27 12:00:00+01:00
11.13,,15.4,7.28,GAR000000033354,2005-02-08 13:00:00+02:00
15.25,,11.5,7.1,GAR000000033355,2007-10-29 12:00:00+01:00
15.881,,11.7,7.06,GAR000000033357,2009-04-06 13:00:00+02:00
16.324,,10.7,7.54,GAR000000033358,2015-08-25 13:00:00+02:00
16.244,,12.2,7.02,GAR000000033359,2019-06-05 13:00:00+02:00
15.791,,11.3,7.0,GAR000000033364,2011-03-01 12:00:00+01:00
16.608,,12.0,7.24,GAR000000033365,2013-08-13 13:00:00+02:00
16.975,,11.1,6.95,GAR000000043422,2021-04-21 13:00:00+02:00
17.281,,11.1,6.99,GAR000000043887,2023-05-04 13:00:00+02:00
