"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038012","IMBRO/A","2023-01-16T14:55:02+01:00","1991-06-14T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1991-06-14","18.83","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1991-06-14","3.09","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1991-06-14","90.18","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1991-06-14","39.99","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1991-06-14","2.6","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1991-06-14","0.7","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-06-14","128.81","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-06-14","6.85","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-06-14","295.85","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-06-14","0.15","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1991-06-14","277.36","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1991-06-14","448.4","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-06-14","20.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1991-06-14","1.93","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-06-14","28.06","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-06-14","10.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1991-06-14","0.01","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1991-06-14","26.13","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1991-06-14","3.4","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1991-06-14","2.07","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1991-06-14","130.16","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1991-06-14","209.47","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-06-14","0.8","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-06-14","27.48","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1991-06-14","0.33","ug/l",,,,"goedgekeurd"
,,,,,,,,,
