"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000702","IMBRO/A","2022-11-25T11:08:04+01:00","1991-07-25T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"arseen","310","As","1991-07-25","2.22","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1991-07-25","0.67","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-07-25","7.76","1",,,,"onbeslist"
"zink","1693","Zn","1991-07-25","6.54","ug/l",,,"<","goedgekeurd"
"strontium","1501","Sr","1991-07-25","295.3","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1991-07-25","8.82","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-07-25","0.25","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","1991-07-25","2.07","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","1991-07-25","2.64","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1991-07-25","8.18","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-07-25","2390.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-07-25","6.25","mg/l",,,,"goedgekeurd"
"kalium","920","K","1991-07-25","1.62","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-07-25","231.8","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-07-25","700.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1991-07-25","55.76","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-07-25","0.03","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1991-07-25","0.63","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-07-25","35.5","mS/m",,,,"onbeslist"
"barium","333","Ba","1991-07-25","60.61","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1991-07-25","66.74","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1991-07-25","0.11","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","1991-07-25","6.85","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-07-25","2.79","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1991-07-25","0.52","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
