"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000054926","IMBRO/A","2025-04-10T17:28:06+02:00","1993-01-12T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1993-01-12","1000.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1993-01-12","67.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1993-01-12","100.0","ug/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","1993-01-12","0.15","mg/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1993-01-12","11.07","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1993-01-12","4.17","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1993-01-12","48.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1993-01-12","110.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1993-01-12","0.53","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1993-01-12","5.97","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1993-01-12","7.57","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1993-01-12","43.0","mS/m",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1993-01-12","260.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1993-01-12","15.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
