"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055043","IMBRO/A","2025-04-10T17:37:44+02:00","1992-11-17T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"Geleidendheid","3548","GELDHD","1992-11-17","1800.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1992-11-17","8.1","1",,,,"goedgekeurd"
"calcium","447","Ca","1992-11-17","984.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1992-11-17","4358.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1992-11-17","215.0","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-11-17","5.31","mg/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","1992-11-17","379.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1992-11-17","47000.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-11-17","1500.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1992-11-17","9.35","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-11-17","9800.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-11-17","830.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","1992-11-17","100.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1992-11-17","88.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1992-11-17","0.15","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1992-11-17","780.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
